age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,earn,capital-remain
1, State-gov,, Married-civ-spouse,, Husband, Black,,0, United-States, >50K.,1
1, Self-emp-not-inc, 11th, Widowed, Other-service, Unmarried, White, Female,1, United-States, <=50K.,0
1, Self-emp-not-inc, Bachelors, Never-married, Sales,, White, Male,, United-States, <=50K.,0
,, Some-college, Married-civ-spouse, Protective-serv, Husband,, Male,0, United-States, <=50K.,0
1, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White,,0, United-States, <=50K.,0
2,, HS-grad, Married-civ-spouse,, Husband, White, Male,0,, <=50K.,0
1, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0, United-States, >50K.,0
1, Private, 5th-6th, Never-married, Priv-house-serv, Not-in-family, White, Male,1, Guatemala, <=50K.,0
0,, 10th,,, Not-in-family, White,,0, United-States, <=50K.,
0, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0, United-States, <=50K.,0
2, Private, Masters,, Prof-specialty, Husband,,,1,, >50K.,0
1, Self-emp-inc, Assoc-voc, Married-civ-spouse, Sales, Husband, White,,0, United-States, >50K.,
1,, HS-grad, Married-civ-spouse, Farming-fishing, Husband,, Male,0, United-States, <=50K.,
, Private, 11th,, Other-service, Husband, White, Male,0, United-States, <=50K.,0
0,,, Never-married, Farming-fishing, Own-child, White, Male,, United-States, <=50K.,
1, Private, Assoc-voc, Married-civ-spouse,, Wife, White,,0, United-States, >50K.,0
1, Private, 7th-8th,,, Husband, White, Male,0,, <=50K.,0
1, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,, United-States, <=50K.,
1, Private, 11th, Separated, Priv-house-serv, Not-in-family, Black, Female,0, United-States, <=50K.,
1, Self-emp-inc,, Widowed, Exec-managerial, Not-in-family, White, Female,1,, <=50K.,0
0,,, Never-married, Other-service, Own-child, White, Male,0, United-States, <=50K.,0
1,, HS-grad,, Handlers-cleaners, Own-child, Black,,0, United-States, <=50K.,0
1,,, Never-married, Other-service, Own-child,,,, United-States, <=50K.,0
1, Private, HS-grad, Never-married, Other-service,,, Male,1,, >50K.,1
, Private,, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,, Mexico, <=50K.,0
, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0, United-States, <=50K.,
2, Private, HS-grad,, Craft-repair, Husband,,,0, United-States, <=50K.,0
1, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,1, United-States, >50K.,
1, Self-emp-inc,, Married-civ-spouse, Exec-managerial, Husband, White, Male,1,, >50K.,1
1, Private, HS-grad, Married-civ-spouse,, Husband,, Male,0, United-States, <=50K.,
1, Private, Bachelors, Never-married, Exec-managerial, Not-in-family,, Female,1,, <=50K.,0
1, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0, United-States, <=50K.,0
1, Private, Masters, Never-married, Exec-managerial, Not-in-family, White, Female,0, United-States, <=50K.,
1, Private, HS-grad, Never-married, Machine-op-inspct,, White, Female,0, United-States, <=50K.,
1, Local-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,,, <=50K.,0
, Private, Bachelors, Never-married, Other-service,, White, Female,0,, <=50K.,0
1, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Craft-repair,, White, Male,1, United-States, >50K.,1
, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0, United-States, <=50K.,0
1,, HS-grad, Separated, Transport-moving,, White,,0, United-States, <=50K.,
1, Private, HS-grad, Married-civ-spouse, Sales,, White, Male,0, United-States, <=50K.,0
1, Private, Some-college,, Exec-managerial,,, Male,0, United-States, >50K.,1
1, Private, Assoc-voc, Married-civ-spouse, Tech-support, Husband, White, Male,0,, <=50K.,0
1, Private, HS-grad,, Machine-op-inspct, Husband, White, Male,0, Mexico, <=50K.,0
1, Private, Some-college, Separated, Handlers-cleaners, Not-in-family, White, Female,0, United-States, <=50K.,0
1, Private, Some-college,, Craft-repair, Husband, Other, Male,0, Dominican-Republic, <=50K.,
0,, 10th, Never-married,,, White, Male,0, United-States, <=50K.,0
1, Private, HS-grad,, Machine-op-inspct, Husband, White, Male,1,, <=50K.,0
2, Self-emp-inc,, Married-civ-spouse, Sales,, White, Male,0, United-States, <=50K.,0
1, Private, HS-grad,, Transport-moving, Husband, White, Male,0,, <=50K.,0
0, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,, <=50K.,0
1, Self-emp-inc, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,1, United-States, <=50K.,
, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0, United-States, <=50K.,0
1, Private, Some-college, Separated, Other-service, Not-in-family,, Male,0, United-States, <=50K.,0
, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,,, >50K.,1
, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,, United-States, <=50K.,0
1, Private, HS-grad,, Machine-op-inspct, Not-in-family, White, Female,0, United-States, <=50K.,0
, Federal-gov,, Never-married, Other-service, Own-child, White, Female,, United-States, <=50K.,0
1, Private, HS-grad,, Sales, Husband, White, Male,1, United-States, >50K.,0
1, Federal-gov, Some-college, Never-married, Armed-Forces, Not-in-family, White,,0, United-States, <=50K.,
1,, Masters,,, Wife, White, Female,0, United-States, >50K.,
, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,, United-States, <=50K.,0
1, Federal-gov, 7th-8th, Never-married,,, Black, Male,0, United-States, <=50K.,0
1, Private,, Married-civ-spouse, Prof-specialty, Wife, White, Female,, United-States, >50K.,1
1, Federal-gov, Bachelors, Divorced, Adm-clerical,, White, Male,, United-States, <=50K.,0
1, Private, Masters, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo,,0, United-States, <=50K.,
0,, HS-grad, Never-married, Handlers-cleaners, Own-child, White,,0, United-States, <=50K.,
,,, Never-married, Exec-managerial, Own-child,, Female,, United-States, <=50K.,0
1, Private, 10th, Married-civ-spouse, Farming-fishing, Husband,, Male,0, United-States, <=50K.,0
1,, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,, United-States, >50K.,0
, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,, <=50K.,0
1,,, Married-civ-spouse,, Wife, White, Female,,, <=50K.,0
,, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0, United-States, <=50K.,
1, Private, Some-college, Never-married, Transport-moving, Own-child, Black, Male,0, United-States, <=50K.,0
1, Self-emp-not-inc, 9th, Widowed, Other-service, Not-in-family, White, Female,0, United-States, <=50K.,
1, Local-gov,, Widowed,, Unmarried,, Female,0, United-States, <=50K.,0
1, Private,, Separated, Machine-op-inspct, Not-in-family, White,,0, United-States, <=50K.,0
1, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0, United-States, <=50K.,
1, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0, United-States, <=50K.,
0, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male,0, United-States, <=50K.,0
0, Private, HS-grad,, Other-service,, White, Female,0,, <=50K.,0
, Private,,, Machine-op-inspct, Own-child, White,,, United-States, <=50K.,0
1, Private,, Married-civ-spouse, Craft-repair,,,,, United-States, <=50K.,0
1, Private, Assoc-voc, Married-civ-spouse,, Husband, White,,0, United-States, >50K.,0
,, HS-grad,,, Own-child, White, Female,0,, <=50K.,
1,, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0, United-States, <=50K.,0
1,, HS-grad,, Handlers-cleaners, Unmarried, White, Male,0, United-States, <=50K.,0
1, Private,,, Craft-repair, Husband, White, Male,0, United-States, <=50K.,0
1, Private, 11th, Never-married, Other-service, Not-in-family, White, Female,0, United-States, <=50K.,
1, Private, HS-grad, Married-spouse-absent, Adm-clerical, Unmarried,, Female,0, United-States, <=50K.,0
1, Private,, Divorced, Sales,,, Female,, United-States, >50K.,0
, Local-gov, Bachelors, Divorced, Prof-specialty, Unmarried, White,,1, United-States, <=50K.,
0, Private, Some-college, Never-married, Sales, Own-child, White,,0, United-States, <=50K.,0
0,,, Never-married,, Own-child, White, Male,0, United-States, <=50K.,0
1, Private,, Divorced, Tech-support,, White, Female,,, <=50K.,0
1, Private, HS-grad, Divorced, Handlers-cleaners,, White, Female,0, United-States, <=50K.,0
2,, HS-grad, Divorced, Adm-clerical,, White, Female,0, United-States, <=50K.,
1, Federal-gov,, Married-civ-spouse,, Wife, White, Female,, United-States, >50K.,0
1, Private, HS-grad,, Prof-specialty, Own-child, White, Male,0,, <=50K.,0
1, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair,, White,,, Ireland, >50K.,0
1, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,1, United-States, >50K.,0
1, Private, Some-college, Married-civ-spouse,, Husband, White,,0,, <=50K.,0
1, Private, HS-grad, Never-married, Craft-repair,, Black,,0, United-States, <=50K.,0
,,, Never-married,, Not-in-family, White, Female,0,, <=50K.,0
1, Self-emp-inc, Doctorate, Married-civ-spouse,, Husband, White, Male,0, United-States, >50K.,0
,,, Married-civ-spouse,, Husband, Black,,0,, <=50K.,0
1, Private, Assoc-acdm,, Prof-specialty, Not-in-family, White, Female,, United-States, <=50K.,0
1, Private,, Married-civ-spouse, Sales, Husband, White, Male,1, United-States, >50K.,0
1, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct,, Black, Male,0, United-States, <=50K.,
1, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,, <=50K.,0
1, Private, 10th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0, United-States, <=50K.,0
1,,, Married-civ-spouse, Prof-specialty, Husband, White,,, United-States, <=50K.,0
0, Private, Some-college, Never-married, Adm-clerical,,, Female,0, Germany, <=50K.,0
1,,, Married-civ-spouse, Exec-managerial, Husband, White,,1,, >50K.,1
1, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband,, Male,0, United-States, >50K.,0
1, Private, Masters,, Prof-specialty, Own-child, White, Female,0,, <=50K.,0
, Self-emp-not-inc, HS-grad,, Exec-managerial, Not-in-family, White, Female,0, United-States, <=50K.,
1, Private, Assoc-voc,, Exec-managerial, Unmarried, White, Female,0, United-States, <=50K.,0
1, Private, HS-grad,, Sales, Husband, White, Male,, United-States, >50K.,0
1, Private, Bachelors,, Exec-managerial, Husband, White, Male,1,, >50K.,1
0, Private, HS-grad, Never-married, Sales, Not-in-family, White,,0, United-States, <=50K.,
1, Private, Some-college,, Other-service, Not-in-family, Black, Male,0,, <=50K.,0
1,, 11th, Married-civ-spouse, Other-service, Wife, Black, Female,0, United-States, <=50K.,
, Private, 7th-8th, Married-civ-spouse,, Husband,,,0,, <=50K.,0
, Private,, Never-married, Craft-repair, Unmarried,, Male,0, United-States, <=50K.,0
,, Bachelors,, Adm-clerical, Husband, White, Male,0, United-States, >50K.,0
1, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0, United-States, <=50K.,0
, Local-gov, HS-grad, Never-married,,, White, Male,0, United-States, <=50K.,0
1, Private,, Never-married,,, White, Male,0, United-States, <=50K.,0
1, Private, Some-college, Never-married,, Unmarried, Black, Female,0, United-States, <=50K.,0
, Self-emp-inc, Bachelors, Divorced, Exec-managerial,, White, Male,0, United-States, <=50K.,0
1, Private, 11th,, Other-service, Husband, White, Male,0, United-States, <=50K.,0
1, Private,, Married-civ-spouse, Sales, Husband, White, Male,, United-States, <=50K.,0
1, Private, HS-grad,, Craft-repair, Husband, White, Male,, United-States, <=50K.,0
1, Private, Bachelors, Never-married, Sales,, White,,0, United-States, <=50K.,
1, State-gov,, Married-civ-spouse, Exec-managerial, Husband,, Male,,, >50K.,0
,, Some-college, Married-civ-spouse, Exec-managerial,, White, Male,0, United-States, >50K.,0
1, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0, United-States, >50K.,0
1, Private, HS-grad,, Craft-repair, Husband, White, Male,0, United-States, <=50K.,
, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, White, Male,0, United-States, <=50K.,0
1, Local-gov, HS-grad, Divorced, Exec-managerial,, White, Male,0, United-States, <=50K.,0
1, Private, HS-grad,, Prof-specialty, Husband, White, Male,0, United-States, >50K.,0
1, Private,, Never-married, Prof-specialty,,,,0, United-States, <=50K.,0
1, Private, Bachelors, Never-married, Adm-clerical, Not-in-family,,,0, United-States, <=50K.,0
2, Private, 12th, Married-civ-spouse, Exec-managerial, Husband,, Male,1,, <=50K.,0
, Local-gov, Masters,,, Unmarried, Black, Female,0, United-States, <=50K.,0
1, Private,, Married-civ-spouse,,, White,,0, United-States, >50K.,0
1, Private, Assoc-voc,,,, White, Male,0, United-States, <=50K.,0
1, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White,,0, United-States, <=50K.,0
1, Self-emp-inc,, Married-civ-spouse, Sales, Husband, White,,1,, >50K.,0
, Private, Some-college,,, Husband, White, Male,0, United-States, >50K.,0
1, Private, Masters, Never-married, Exec-managerial, Own-child, White, Male,0, United-States, <=50K.,
1, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband,, Male,0, United-States, >50K.,
1,, HS-grad, Married-civ-spouse,, Own-child, White,,0, United-States, >50K.,0
1, Private, Bachelors, Widowed, Exec-managerial,, White, Female,1, United-States, <=50K.,0
1, Private, HS-grad, Divorced, Sales, Unmarried, Black, Female,, United-States, <=50K.,0
2,, Some-college, Married-civ-spouse,, Husband, White,,, United-States, <=50K.,0
, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family,, Male,,, <=50K.,0
1, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White,,1, United-States, <=50K.,
1,, Bachelors, Married-spouse-absent,,,,,0,, <=50K.,0
1, Private,,, Other-service, Not-in-family,, Female,,, <=50K.,0
1, Private, Bachelors, Married-civ-spouse,, Husband, White, Male,, United-States, >50K.,0
1, Private, Bachelors, Separated, Prof-specialty,, White, Male,1, United-States, >50K.,0
1, Private, Some-college, Divorced, Adm-clerical,, Black, Female,, United-States, <=50K.,0
2,, 7th-8th, Widowed,, Not-in-family, White, Male,0, United-States, <=50K.,0
1, Private, HS-grad, Never-married, Prof-specialty, Unmarried, Black, Female,1, United-States, <=50K.,0
1, Private, Some-college, Divorced,, Unmarried,,,0,, <=50K.,0
1, Private,,,, Not-in-family, White, Male,0, United-States, <=50K.,
1, Self-emp-inc, Prof-school,,,, White,,, United-States, >50K.,0
0, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female,, United-States, <=50K.,0
, Private, HS-grad, Married-civ-spouse, Handlers-cleaners,, White, Male,0, United-States, >50K.,
1, Local-gov, Some-college, Married-civ-spouse, Protective-serv, Husband, White,,0, United-States, >50K.,0
1, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White,,1,, <=50K.,0
1, Private, Bachelors,,, Not-in-family, White, Male,0, United-States, <=50K.,
1,, Bachelors, Divorced, Prof-specialty, Unmarried, White,,0, United-States, <=50K.,0
1,,, Married-civ-spouse, Prof-specialty, Husband, White, Male,0, United-States, >50K.,0
1, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband,, Male,1,, <=50K.,
1, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Black, Male,0, United-States, <=50K.,0
2,, HS-grad, Married-civ-spouse, Exec-managerial, Husband,, Male,0, United-States, <=50K.,0
1, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,, United-States, >50K.,0
, Private, Some-college,,, Husband, White, Male,1,, >50K.,
0, Private, 11th, Never-married, Sales, Not-in-family, White, Male,0, United-States, <=50K.,0
1, Private, Some-college,, Other-service, Own-child, White, Female,1,, <=50K.,
1, Federal-gov, Assoc-voc, Divorced,,,, Female,, United-States, <=50K.,
1, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0, United-States, <=50K.,0
1,, Bachelors,,, Own-child, Black, Female,,, <=50K.,0
1, Private,, Married-civ-spouse,, Husband,, Male,0, United-States, <=50K.,0
1,,, Never-married, Other-service, Not-in-family, White, Male,0, United-States, <=50K.,0
1, Private, 5th-6th, Never-married,, Other-relative, White, Male,0, Mexico, <=50K.,0
1, Private, Assoc-voc, Separated, Craft-repair, Not-in-family, White, Male,0, United-States, <=50K.,0
1, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0, United-States, <=50K.,0
1, Private,, Married-civ-spouse, Adm-clerical,, Asian-Pac-Islander, Male,0, Philippines, <=50K.,0
1, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0, Philippines, <=50K.,
1, Private,, Never-married, Craft-repair,, White, Male,0, United-States, <=50K.,0
1,, HS-grad,, Sales, Husband, White, Male,0, United-States, >50K.,0
2, Local-gov, 9th, Married-civ-spouse,, Husband, White, Male,0, United-States, >50K.,1
1, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0, United-States, <=50K.,0
1, Private, Bachelors,, Prof-specialty, Husband,, Male,0, United-States, >50K.,1
,, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White,,, United-States, <=50K.,
1,,, Separated,, Not-in-family,, Female,,, <=50K.,0
2,, Some-college, Married-civ-spouse,, Husband, White, Male,0, United-States, <=50K.,0
0, Private, 12th, Never-married, Priv-house-serv,, White, Male,, United-States, <=50K.,
1, Private, Prof-school, Married-civ-spouse, Prof-specialty,,, Male,1, United-States, <=50K.,0
1, Private, Masters, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,1,, <=50K.,0
1,, HS-grad,, Tech-support,, White, Male,0, United-States, >50K.,0
2,, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0, United-States, <=50K.,0
1, Private, Assoc-voc, Divorced, Tech-support, Unmarried,, Female,1, United-States, <=50K.,
1,, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0, United-States, <=50K.,
1, Private, HS-grad, Never-married, Other-service, Unmarried, Black, Female,0, Haiti, <=50K.,
1, Private, Some-college, Never-married, Sales, Not-in-family, White,,0, United-States, <=50K.,
, Private, HS-grad, Married-civ-spouse, Transport-moving,,, Male,0,, <=50K.,0
, Local-gov, HS-grad, Never-married, Other-service, Own-child, White, Female,0, United-States, <=50K.,
1, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,1, United-States, <=50K.,
0, Private, Some-college, Never-married, Other-service,, White, Female,0,, <=50K.,0
, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband,, Male,,, <=50K.,0
1, Federal-gov, Some-college,, Adm-clerical, Own-child, White, Female,0, United-States, <=50K.,
,, HS-grad, Married-civ-spouse,, Wife, White, Female,1,, <=50K.,0
1, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0, United-States, <=50K.,0
, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Female,0, United-States, <=50K.,0
1, Private, HS-grad, Married-civ-spouse, Transport-moving,, White, Male,, United-States, >50K.,0
1, State-gov, HS-grad, Married-civ-spouse,, Husband, White,,0, United-States, <=50K.,0
1, Private, Some-college, Never-married, Sales, Own-child,, Male,0, United-States, <=50K.,0
1,, Assoc-voc,, Craft-repair,, White, Male,, United-States, <=50K.,0
1, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White,,0, United-States, >50K.,
1, Federal-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,, <=50K.,
1, Private, Bachelors,, Tech-support, Own-child, White, Male,1, United-States, <=50K.,0
1,,, Never-married, Machine-op-inspct, Other-relative, White, Male,0,, <=50K.,
2, Federal-gov, Some-college, Divorced, Tech-support, Not-in-family, Black, Male,0, United-States, <=50K.,0
1, Private, HS-grad, Never-married,, Not-in-family, Black, Female,0, United-States, <=50K.,0
1, State-gov, HS-grad, Never-married, Other-service, Not-in-family, White, Male,, United-States, <=50K.,0
2, Self-emp-not-inc,,, Prof-specialty,,, Male,0, United-States, <=50K.,0
1, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Female,1, United-States, <=50K.,0
, Local-gov, Masters, Never-married, Prof-specialty, Not-in-family, White,,0, United-States, <=50K.,
1, Private, Some-college,,, Not-in-family, White,,0, United-States, <=50K.,0
, Private,, Never-married, Adm-clerical, Own-child, White, Female,0, United-States, <=50K.,0
, Private, Masters,, Exec-managerial, Not-in-family, White,,0,, <=50K.,
1, Private,, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,, >50K.,0
2,, HS-grad, Married-civ-spouse,,, White, Male,0, United-States, <=50K.,0
,, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,0, United-States, <=50K.,0
1,,, Never-married,, Own-child, White, Female,0,, <=50K.,0
1,, 11th, Married-civ-spouse, Sales, Wife, White, Female,0, United-States, <=50K.,0
1, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White,,1,, <=50K.,0
1, Private, 10th,, Transport-moving, Husband, White, Male,0, United-States, >50K.,0
2, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Female,0, United-States, >50K.,0
1, State-gov, Masters, Never-married, Exec-managerial, Not-in-family, White, Male,0, United-States, <=50K.,0
1,, HS-grad, Married-civ-spouse,, Husband, White, Male,0, United-States, >50K.,0
0, Private, HS-grad, Never-married,, Own-child, Amer-Indian-Eskimo, Female,0, United-States, <=50K.,0
1,, HS-grad, Divorced, Other-service, Not-in-family,, Male,1, United-States, <=50K.,
, Private, 11th, Never-married, Handlers-cleaners, Own-child,, Male,0, United-States, <=50K.,
1, Self-emp-inc, Bachelors, Married-civ-spouse,, Husband, White, Male,1, United-States, >50K.,1
0, Private,, Never-married, Protective-serv, Not-in-family, Black,,1, United-States, <=50K.,
1, Federal-gov,, Married-civ-spouse, Craft-repair, Husband, White, Male,0,, >50K.,0
1,, HS-grad, Married-civ-spouse, Handlers-cleaners,, White, Male,0, United-States, >50K.,0
1, Private, HS-grad, Never-married,,, White, Female,0, United-States, <=50K.,0
1, Private, Some-college, Divorced, Tech-support, Unmarried, White,,0, United-States, <=50K.,
1,, Bachelors, Married-civ-spouse, Sales, Husband,, Male,1,, <=50K.,
, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Female,, United-States, <=50K.,0
1, Private, HS-grad, Never-married, Machine-op-inspct,, Black, Male,0, United-States, <=50K.,0
1, Private,, Married-civ-spouse, Protective-serv,,, Male,0, United-States, >50K.,0
, Federal-gov, Some-college, Married-civ-spouse, Transport-moving,, Black, Male,,, <=50K.,0
1, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Male,0, United-States, <=50K.,0
1, Private, HS-grad,, Exec-managerial, Husband, White, Male,1, United-States, >50K.,0
2, Private, 10th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,, <=50K.,0
1,, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0, United-States, <=50K.,0
1,, 10th, Divorced, Adm-clerical,, White, Female,0, United-States, <=50K.,0
, Private, Some-college, Married-civ-spouse,,,, Male,0, United-States, <=50K.,
1, Private,, Never-married, Machine-op-inspct, Unmarried, White,,0, United-States, <=50K.,0
1,, 9th, Married-civ-spouse,, Husband, White, Male,0, El-Salvador, >50K.,0
1, Private, HS-grad, Never-married, Sales,, White, Male,,, <=50K.,0
1,,, Never-married, Farming-fishing,, White, Male,, United-States, >50K.,1
1, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Other-relative, White, Male,0, United-States, <=50K.,
,, Some-college, Married-civ-spouse, Craft-repair,,, Male,0, United-States, >50K.,
, Private, 11th,, Handlers-cleaners, Other-relative,, Male,0, Puerto-Rico, <=50K.,0
1, Local-gov, Some-college, Divorced, Adm-clerical, Unmarried,, Female,0, United-States, <=50K.,0
, Private, HS-grad, Divorced, Exec-managerial, Own-child,, Female,0, United-States, <=50K.,0
0, Private, Some-college, Never-married, Handlers-cleaners,,, Male,0,, <=50K.,0
1, Local-gov, Bachelors, Never-married,, Unmarried, Black, Male,0,, <=50K.,0
1,,,, Adm-clerical,, White, Female,0,, <=50K.,0
, Private, Bachelors, Never-married, Adm-clerical, Own-child, White,,,, <=50K.,0
, Self-emp-inc,, Married-civ-spouse, Exec-managerial, Husband, White, Male,1, United-States, >50K.,0
,,,, Sales, Husband, Asian-Pac-Islander, Male,1, Vietnam, <=50K.,
1, Local-gov, Assoc-acdm, Married-civ-spouse, Tech-support, Husband, White, Male,, United-States, >50K.,0
1,, Some-college, Never-married,, Own-child, White, Male,0, United-States, <=50K.,0
1, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing,,, Male,1, United-States, <=50K.,
,, Bachelors,, Exec-managerial, Unmarried, White, Female,, United-States, >50K.,0
1, Private, HS-grad,, Adm-clerical, Wife,, Female,0,, <=50K.,
, Private, Some-college,, Craft-repair,, White, Male,0, United-States, >50K.,0
0,, Some-college, Never-married,,,, Male,, United-States, <=50K.,0
